code	currentFolder	shortName
11	11-AgricultureForestryFishingAndHunting	Agriculture
21	21-MiningQuarryingAndOilAndGasExtraction	Mining
22	22-Utilities	Utilities
23	23-Construction	Construction
42	42-WholesaleTrade	Wholesale
51	51-Information	Media
52	52-FinanceAndInsurance	Finance
53	53-RealEstateAndRentalAndLeasing	RealEstate
54	54-ProfessionalScientificAndTechnicalServices	Professional
55	55-ManagementOfCompaniesAndEnterprises	Management
56	56-AdministrativeAndSupportAndWasteManagementAndRemediationServices	Admin
61	61-EducationalServices	Education
62	62-HealthCareAndSocialAssistance	Healthcare
71	71-ArtsEntertainmentAndRecreation	Entertainment
72	72-AccommodationAndFoodServices	Hospitality
81	81-OtherServicesExceptPublicAdministration	Services
92	92-PublicAdministration	Government
